"time","capacitor1.v","der(capacitor1.v)","capacitor1.i","capacitor1.n.i","capacitor1.n.v","capacitor1.p.i","capacitor1.p.v","ground1.p.i","ground1.p.v","ground2.p.v","ground3.p.v","resistor1.LossPower","resistor1.R_actual","resistor1.v","resistor2.LossPower","resistor2.R_actual","resistor2.i","resistor2.v","sineVoltage1.v","constantVoltage1.i","constantVoltage1.n.i","constantVoltage1.n.v","constantVoltage1.p.i","ground2.p.i","ground3.p.i","resistor1.i","resistor1.n.i","resistor1.n.v","resistor1.p.i","resistor1.p.v","resistor2.n.i","resistor2.p.i","resistor2.p.v","sineVoltage1.i","sineVoltage1.n.i","sineVoltage1.n.v","sineVoltage1.p.i","sineVoltage1.p.v","sineVoltage1.signalSource.y"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0,0,0,-0,0,0,-0,0,0,0,-0,0,0,-0,0,0,-0,0,0
0.01,0,0,0,0,0.005002452612811644,0,0.005002452612811644,0,0,0,0,2.502453214342605e-05,1,0.005002452612811644,2.502453214342605e-05,1,0.005002452612811644,0.005002452612811644,0.01000490522562329,0.005002452612811644,-0.005002452612811644,0,0.005002452612811644,-0.005002452612811644,0.005002452612811644,0.005002452612811644,-0.005002452612811644,0.005002452612811644,0.005002452612811644,0.01000490522562329,-0.005002452612811644,0.005002452612811644,0.005002452612811644,-0.005002452612811644,0.005002452612811644,0,-0.005002452612811644,0.01000490522562329,0.01000490522562329
0.02,0,0,0,0,0.01000440447694715,0,0.01000440447694715,0,0,0,0,0.0001000881089383602,1,0.01000440447694715,0.0001000881089383602,1,0.01000440447694715,0.01000440447694715,0.0200088089538943,0.01000440447694715,-0.01000440447694715,0,0.01000440447694715,-0.01000440447694715,0.01000440447694715,0.01000440447694715,-0.01000440447694715,0.01000440447694715,0.01000440447694715,0.0200088089538943,-0.01000440447694715,0.01000440447694715,0.01000440447694715,-0.01000440447694715,0.01000440447694715,0,-0.01000440447694715,0.0200088089538943,0.0200088089538943
0.03,0,0,0,0,0.01500535489385565,0,0.01500535489385565,0,0,0,0,0.0002251606754905576,1,0.01500535489385565,0.0002251606754905576,1,0.01500535489385565,0.01500535489385565,0.0300107097877113,0.01500535489385565,-0.01500535489385565,0,0.01500535489385565,-0.01500535489385565,0.01500535489385565,0.01500535489385565,-0.01500535489385565,0.01500535489385565,0.01500535489385565,0.0300107097877113,-0.01500535489385565,0.01500535489385565,0.01500535489385565,-0.01500535489385565,0.01500535489385565,0,-0.01500535489385565,0.0300107097877113,0.0300107097877113
0.04,0,0,0,0,0.02000480326523176,0,0.02000480326523176,0,0,0,0,0.0004001921536806272,1,0.02000480326523176,0.0004001921536806272,1,0.02000480326523176,0.02000480326523176,0.04000960653046352,0.02000480326523176,-0.02000480326523176,0,0.02000480326523176,-0.02000480326523176,0.02000480326523176,0.02000480326523176,-0.02000480326523176,0.02000480326523176,0.02000480326523176,0.04000960653046352,-0.02000480326523176,0.02000480326523176,0.02000480326523176,-0.02000480326523176,0.02000480326523176,0,-0.02000480326523176,0.04000960653046352,0.04000960653046352
0.05,0,0,0,0,0.02500224914312582,0,0.02500224914312582,0,0,0,0,0.0006251124622149359,1,0.02500224914312582,0.0006251124622149359,1,0.02500224914312582,0.02500224914312582,0.05000449828625164,0.02500224914312582,-0.02500224914312582,0,0.02500224914312582,-0.02500224914312582,0.02500224914312582,0.02500224914312582,-0.02500224914312582,0.02500224914312582,0.02500224914312582,0.05000449828625164,-0.02500224914312582,0.02500224914312582,0.02500224914312582,-0.02500224914312582,0.02500224914312582,0,-0.02500224914312582,0.05000449828625164,0.05000449828625164
0.06,0,0,0,0,0.02999719228003903,0,0.02999719228003903,0,0,0,0,0.0008998315446856329,1,0.02999719228003903,0.0008998315446856329,1,0.02999719228003903,0.02999719228003903,0.05999438456007805,0.02999719228003903,-0.02999719228003903,0,0.02999719228003903,-0.02999719228003903,0.02999719228003903,0.02999719228003903,-0.02999719228003903,0.02999719228003903,0.02999719228003903,0.05999438456007805,-0.02999719228003903,0.02999719228003903,0.02999719228003903,-0.02999719228003903,0.02999719228003903,0,-0.02999719228003903,0.05999438456007805,0.05999438456007805
0.07000000000000001,0,0,0,0,0.03498913267899855,0,0.03498913267899855,0,0,0,0,0.001224239405628564,1,0.03498913267899855,0.001224239405628564,1,0.03498913267899855,0.03498913267899855,0.0699782653579971,0.03498913267899855,-0.03498913267899855,0,0.03498913267899855,-0.03498913267899855,0.03498913267899855,0.03498913267899855,-0.03498913267899855,0.03498913267899855,0.03498913267899855,0.0699782653579971,-0.03498913267899855,0.03498913267899855,0.03498913267899855,-0.03498913267899855,0.03498913267899855,0,-0.03498913267899855,0.0699782653579971,0.0699782653579971
0.08,0,0,0,0,0.0399775706436075,0,0.0399775706436075,0,0,0,0,0.001598206154564628,1,0.0399775706436075,0.001598206154564628,1,0.0399775706436075,0.0399775706436075,0.079955141287215,0.0399775706436075,-0.0399775706436075,0,0.0399775706436075,-0.0399775706436075,0.0399775706436075,0.0399775706436075,-0.0399775706436075,0.0399775706436075,0.0399775706436075,0.079955141287215,-0.0399775706436075,0.0399775706436075,0.0399775706436075,-0.0399775706436075,0.0399775706436075,0,-0.0399775706436075,0.079955141287215,0.079955141287215
0.09,0,0,0,0,0.04496200682806493,0,0.04496200682806493,0,0,0,0,0.002021582058006957,1,0.04496200682806493,0.002021582058006957,1,0.04496200682806493,0.04496200682806493,0.08992401365612986,0.04496200682806493,-0.04496200682806493,0,0.04496200682806493,-0.04496200682806493,0.04496200682806493,0.04496200682806493,-0.04496200682806493,0.04496200682806493,0.04496200682806493,0.08992401365612986,-0.04496200682806493,0.04496200682806493,0.04496200682806493,-0.04496200682806493,0.04496200682806493,0,-0.04496200682806493,0.08992401365612986,0.08992401365612986
