x	P0	P1	Spline	Akima	GSL
0.3	3	1.44444	1.49628	1.53626	1.49628
0.32	3	1.48889	1.54528	1.58665	1.54528
0.34	3	1.53333	1.59411	1.63648	1.59411
0.36	3	1.57778	1.64275	1.68574	1.64275
0.38	3	1.62222	1.69117	1.73446	1.69117
0.4	3	1.66667	1.73937	1.78262	1.73937
0.42	3	1.71111	1.78733	1.83024	1.78733
0.44	3	1.75556	1.83502	1.87733	1.83502
0.46	3	1.8	1.88245	1.92388	1.88245
0.48	3	1.84444	1.92958	1.9699	1.92958
0.5	3	1.88889	1.9764	2.01541	1.9764
0.52	3	1.93333	2.0229	2.06039	2.0229
0.54	3	1.97778	2.06907	2.10487	2.06907
0.56	3	2.02222	2.11487	2.14885	2.11487
0.58	3	2.06667	2.16031	2.19232	2.16031
0.6	3	2.11111	2.20536	2.23531	2.20536
0.62	3	2.15556	2.25	2.2778	2.25
0.64	3	2.2	2.29422	2.31982	2.29422
0.66	3	2.24444	2.33801	2.36135	2.33801
0.68	3	2.28889	2.38135	2.40242	2.38135
0.7	3	2.33333	2.42421	2.44302	2.42421
0.72	3	2.37778	2.46659	2.48316	2.46659
0.74	3	2.42222	2.50848	2.52285	2.50848
0.76	3	2.46667	2.54984	2.56209	2.54984
0.78	3	2.51111	2.59067	2.60088	2.59067
0.8	3	2.55556	2.63095	2.63924	2.63095
0.82	3	2.6	2.67067	2.67717	2.67067
0.84	3	2.64444	2.7098	2.71467	2.7098
0.86	3	2.68889	2.74834	2.75175	2.74834
0.88	3	2.73333	2.78626	2.78841	2.78626
0.9	3	2.77778	2.82355	2.82467	2.82355
0.92	3	2.82222	2.8602	2.86052	2.8602
0.94	3	2.86667	2.89618	2.89597	2.89618
0.96	3	2.91111	2.93149	2.93104	2.93149
0.98	3	2.95556	2.9661	2.96571	2.9661
1	4	3	3	3	3
1.02	4	3.02	3.03318	3.03377	3.03318
1.04	4	3.04	3.06564	3.06687	3.06564
1.06	4	3.06	3.0974	3.09932	3.0974
1.08	4	3.08	3.12846	3.13112	3.12846
1.1	4	3.1	3.15884	3.16227	3.15884
1.12	4	3.12	3.18855	3.19279	3.18855
1.14	4	3.14	3.2176	3.22267	3.2176
1.16	4	3.16	3.246	3.25193	3.246
1.18	4	3.18	3.27376	3.28056	3.27376
1.2	4	3.2	3.30089	3.30859	3.30089
1.22	4	3.22	3.32741	3.33601	3.32741
1.24	4	3.24	3.35333	3.36283	3.35333
1.26	4	3.26	3.37865	3.38905	3.37865
1.28	4	3.28	3.40339	3.41469	3.40339
1.3	4	3.3	3.42755	3.43975	3.42755
1.32	4	3.32	3.45116	3.46423	3.45116
1.34	4	3.34	3.47422	3.48814	3.47422
1.36	4	3.36	3.49674	3.5115	3.49674
1.38	4	3.38	3.51873	3.53429	3.51873
1.4	4	3.4	3.54021	3.55654	3.54021
1.42	4	3.42	3.56118	3.57824	3.56118
1.44	4	3.44	3.58166	3.59941	3.58166
1.46	4	3.46	3.60166	3.62005	3.60166
1.48	4	3.48	3.62119	3.64016	3.62119
1.5	4	3.5	3.64026	3.65976	3.64026
1.52	4	3.52	3.65888	3.67884	3.65888
1.54	4	3.54	3.67706	3.69742	3.67706
1.56	4	3.56	3.69481	3.7155	3.69481
1.58	4	3.58	3.71215	3.73309	3.71215
1.6	4	3.6	3.72908	3.75019	3.72908
1.62	4	3.62	3.74562	3.76682	3.74562
1.64	4	3.64	3.76178	3.78297	3.76178
1.66	4	3.66	3.77757	3.79865	3.77757
1.68	4	3.68	3.793	3.81387	3.793
1.7	4	3.7	3.80808	3.82864	3.80808
1.72	4	3.72	3.82282	3.84296	3.82282
1.74	4	3.74	3.83724	3.85684	3.83724
1.76	4	3.76	3.85134	3.87029	3.85134
1.78	4	3.78	3.86513	3.8833	3.86513
1.8	4	3.8	3.87864	3.8959	3.87864
1.82	4	3.82	3.89186	3.90808	3.89186
1.84	4	3.84	3.90481	3.91984	3.90481
1.86	4	3.86	3.9175	3.93121	3.9175
1.88	4	3.88	3.92994	3.94218	3.92994
1.9	4	3.9	3.94215	3.95275	3.94215
1.92	4	3.92	3.95413	3.96295	3.95413
1.94	4	3.94	3.96589	3.97276	3.96589
1.96	4	3.96	3.97745	3.9822	3.97745
1.98	4	3.98	3.98881	3.99128	3.98881
2	2	4	4	4	4
2.02	2	3.98667	4.01101	4.00838	4.01101
2.04	2	3.97333	4.02185	4.01644	4.02185
2.06	2	3.96	4.03251	4.02417	4.03251
2.08	2	3.94667	4.04299	4.03158	4.04299
2.1	2	3.93333	4.05329	4.03867	4.05329
2.12	2	3.92	4.0634	4.04544	4.0634
2.14	2	3.90667	4.07333	4.05189	4.07333
2.16	2	3.89333	4.08306	4.05802	4.08306
2.18	2	3.88	4.09259	4.06383	4.09259
2.2	2	3.86667	4.10193	4.06932	4.10193
2.22	2	3.85333	4.11107	4.0745	4.11107
2.24	2	3.84	4.12	4.07935	4.12
2.26	2	3.82667	4.12872	4.08389	4.12872
2.28	2	3.81333	4.13723	4.08812	4.13723
2.3	2	3.8	4.14553	4.09203	4.14553
2.32	2	3.78667	4.15361	4.09563	4.15361
2.34	2	3.77333	4.16147	4.09891	4.16147
2.36	2	3.76	4.16911	4.10188	4.16911
2.38	2	3.74667	4.17652	4.10454	4.17652
2.4	2	3.73333	4.1837	4.10688	4.1837
2.42	2	3.72	4.19065	4.10892	4.19065
2.44	2	3.70667	4.19736	4.11064	4.19736
2.46	2	3.69333	4.20383	4.11206	4.20383
2.48	2	3.68	4.21006	4.11316	4.21006
2.5	2	3.66667	4.21605	4.11396	4.21605
2.52	2	3.65333	4.22179	4.11444	4.22179
2.54	2	3.64	4.22727	4.11463	4.22727
2.56	2	3.62667	4.23251	4.1145	4.23251
2.58	2	3.61333	4.23748	4.11407	4.23748
2.6	2	3.6	4.2422	4.11333	4.2422
2.62	2	3.58667	4.24665	4.11229	4.24665
2.64	2	3.57333	4.25083	4.11095	4.25083
2.66	2	3.56	4.25475	4.1093	4.25475
2.68	2	3.54667	4.25839	4.10735	4.25839
2.7	2	3.53333	4.26175	4.10509	4.26175
2.72	2	3.52	4.26484	4.10254	4.26484
2.74	2	3.50667	4.26764	4.09968	4.26764
2.76	2	3.49333	4.27016	4.09653	4.27016
2.78	2	3.48	4.27239	4.09307	4.27239
2.8	2	3.46667	4.27433	4.08932	4.27433
2.82	2	3.45333	4.27597	4.08527	4.27597
2.84	2	3.44	4.27732	4.08092	4.27732
2.86	2	3.42667	4.27836	4.07627	4.27836
2.88	2	3.41333	4.2791	4.07133	4.2791
2.9	2	3.4	4.27953	4.06609	4.27953
2.92	2	3.38667	4.27966	4.06056	4.27966
2.94	2	3.37333	4.27947	4.05473	4.27947
2.96	2	3.36	4.27896	4.04861	4.27896
2.98	2	3.34667	4.27813	4.0422	4.27813
3	2	3.33333	4.27699	4.03549	4.27699
3.02	2	3.32	4.27551	4.0285	4.27551
3.04	2	3.30667	4.27371	4.02121	4.27371
3.06	2	3.29333	4.27157	4.01363	4.27157
3.08	2	3.28	4.2691	4.00576	4.2691
3.1	2	3.26667	4.26629	3.9976	4.26629
3.12	2	3.25333	4.26314	3.98916	4.26314
3.14	2	3.24	4.25965	3.98042	4.25965
3.16	2	3.22667	4.25581	3.9714	4.25581
3.18	2	3.21333	4.25161	3.96209	4.25161
3.2	2	3.2	4.24707	3.9525	4.24707
3.22	2	3.18667	4.24217	3.94262	4.24217
3.24	2	3.17333	4.2369	3.93246	4.2369
3.26	2	3.16	4.23128	3.92201	4.23128
3.28	2	3.14667	4.22529	3.91128	4.22529
3.3	2	3.13333	4.21893	3.90027	4.21893
3.32	2	3.12	4.21219	3.88897	4.21219
3.34	2	3.10667	4.20508	3.8774	4.20508
3.36	2	3.09333	4.1976	3.86554	4.1976
3.38	2	3.08	4.18973	3.8534	4.18973
3.4	2	3.06667	4.18147	3.84099	4.18147
3.42	2	3.05333	4.17283	3.82829	4.17283
3.44	2	3.04	4.1638	3.81532	4.1638
3.46	2	3.02667	4.15437	3.80207	4.15437
3.48	2	3.01333	4.14455	3.78854	4.14455
